S.No,Type (QP-NOS /NOS/Expository),Sector,Name of the QP,QPRef.ID,NSQF Level,Contains Electives/Options,Number of Electives/ Options,Elective/Option Name,Compulsary NOS Count,Elective/Optional NOS count,Total No. of NOS,Version No.,Educational Qualification,Theory (hours) for Compulsory NOSs,Practical (hours) for Compulsory NOSs,Total Hours for Compulsory NOSs,Elective/Option Theory (hours),Elective/Option Practical (hours),GRAND TOTAL Minimum hours duration for QP,Mandatory OJT ,Recommended OJT ,Curriculum Available ,PH Available,FG Available,Job Roles in PMKVY 2.0,Job Roles in PMKVY 2.0 (9th SC Remarks),Job Roles in PMKVY 2.0 (2018-20),Job Roles Readiness for CSSM,Job Roles in PMKVY CSSM (FY 2018-20),89 Curriculum/Content,CSSM MES,Available on SMART Portal,QRC Approval Date,MC Approval/Upload Date,NSQC Approval Status,DLI Status,QP Uploaded on NSDC Website,NAPS Paired & Embedded QPs,QP Retirement Planned (Yes/Tentative),Retirement Announcement Date,Retirement Not Before Date,Remarks,
1,QP-NOS,Aerospace & Aviation,Airline High Lift Truck Operator,AAS/Q0102,3,,,,6,,6,1,10th Class,126,162,288,,,,,,Yes,Yes,,, ,,,,,,Yes, ,,17th Meeting,,National Occupational Standards,,,,,,
2,QP-NOS,Aerospace & Aviation,Airline Cargo Assistant,AAS/Q0103,3,Option,1,"O1:Airside 
Vehicle Operator",4,1,5,1,10th Class,87,105,192,19,29,192,,,Yes,Yes,Yes,,*May be added from 1-Apr-2018; 9th SC,Yes,Cat 1 (Phase 1),Yes,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
3,QP-NOS,Aerospace & Aviation,Airline Baggage Handler,AAS/Q0104,3,Option,1,"O1:Airside 
Vehicle Operator",4,1,5,1,10th Class,85,107,192,19,29,192,,,Yes,Yes,Yes,,*May be added from 1-Apr-2018; 9th SC,Yes,,Yes,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
4,QP-NOS,Aerospace & Aviation,Airline Customer Service Executive,AAS/Q0301,4,,,,6,,6,1,12th Class,106,134,240,,,,,,Yes,Yes,,,*May be added from 1-Apr-2018; 9th SC,Yes,Cat 1 (Phase 1),Yes,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
5,QP-NOS,Aerospace & Aviation,Airline Security Executive,AAS/Q0601,3,,,,3,,3,1,10th Class,130,110,240,,,,,,Yes,Yes,,,*May be added from 1-Apr-2018; 9th SC,Yes,,Yes,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
6,QP-NOS,Aerospace & Aviation,Flight Dispatcher,AAS/Q0603,4,,,,2,,2,1,12th Class,261,315,576,,,,,,Yes,Yes,,,,,,,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
7,QP-NOS,Aerospace & Aviation,Airline Flight Load Controller,AAS/Q0604,5,,,,4,,4,1,12th Class,106,134,240,19,29,240,,,Yes,Yes,,,,,,,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
8,QP-NOS,Aerospace & Aviation,Aircraft Powerplant Technician,AAS/Q2001,4,Option,1,O1:Aerospace Welder,6,1,7,2,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",157,227,384,81,111,384,,,Yes,Yes,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,QP was rationalized for Special Project and approved on 25th Oct,
9,QP-NOS,Aerospace & Aviation,Aircraft Instrument Technician,AAS/Q2002,4,,,,3,,3,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",156,228,384,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
10,QP-NOS,Aerospace & Aviation,Composite Repair Technician,AAS/Q2003,4,,,,5,,5,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",153,231,384,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
11,QP-NOS,Aerospace & Aviation,Helicopter Transmission Technician,AAS/Q2004,4,,,,3,,3,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",180,204,384,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
12,QP-NOS,Aerospace & Aviation,Propeller Technician,AAS/Q2006,4,,,,6,,6,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",194,190,384,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
13,QP-NOS,Aerospace & Aviation,FOL Storage and Control Technician,AAS/Q2007,4,,,,3,,3,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",134,154,288,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
14,QP-NOS,Aerospace & Aviation,Seat and Safety Equipment Technician,AAS/Q2008,4,,,,2,,2,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",126,162,288,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
15,QP-NOS,Aerospace & Aviation,Technical Services Engineer,AAS/Q2101,5,,,,2,,2,1,Graduate (B.E/B.Tech) or its equivalent,180,204,384,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
16,QP-NOS,Aerospace & Aviation,Airline Reservation Agent,AAS/Q0302,4,,,,3,,3,1,12th Class,108,132,240,,,,,,Yes,Yes,Yes,,,,,Yes,,,Yes,,,20th Meeting,,National Occupational Standards,,,,,,
17,QP-NOS,Aerospace & Aviation,Airline Ramp Executive,AAS/Q0602,4,,,,6,,6,1,Graduate,106,134,240,,,,,,Yes,Yes,,,,,,,,,Yes,,,20th Meeting,,National Occupational Standards,,,,,,
18,QP-NOS,Aerospace & Aviation,Airline Cabin Crew,AAS/Q0605,4,,,,5,,5,1,12th Class,224,256,480,,,,,,Yes,Yes,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
19,QP-NOS,Aerospace & Aviation,Airline First Officer,AAS/Q0606,6,,,,4,,4,1,12th Class,1151,1153,2304,,,,,,Yes,,,,,,,,,,Yes,,,"Submitted (DGCA concurrence not received, therefore not tabled in 23rd NSQC)",,Occupational Standards,,,,,,
20,QP-NOS,Aerospace & Aviation,Airline Revenue Management Analyst,AAS/Q0608,4,,,,2,,2,1,Graduate,96,144,240,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
21,QP-NOS,Aerospace & Aviation,Airline Network Planning Analyst,AAS/Q0609,4,,,,2,,2,1,Graduate,113,127,240,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
22,QP-NOS,Aerospace & Aviation,Airline Senior Unit Load Device (ULD) staff,AAS/Q0610,4,,,,3,,3,1,10th Class,102,138,240,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
