,Educational Qualification
10th Class,189
"10th Class ,Preferably",106
"5th Class ,Preferably",71
12th Class,63
8th Class,60
5th Class,57
"8th Class, Preferably",51
Graduate,37
"12th Class, Preferably",35
"8th Class ,Preferably",34
8th Standard,32
ITI/Diploma,31
"5th Class Pass ,Preferably",27
Bachelor’s Degree in Engineering / Technology / Statistics / Mathematics / Computer Science,27
10th Standard,24
Diploma,23
"5th Class, Preferably",21
5th Standard,17
"10th Class,Preferably ",17
Class VIII,15
10+2 or equivalent,15
ITI,15
"8th Class pass, preferably",15
Class XII,15
Class X,14
"5th Standard pass, preferably",14
VIIIth Pass,14
"12th Class passed, Preferably",14
"10th Standard, preferably",13
12th Class/ITI/Diploma,12
High School,12
5th pass preferably,12
"10th Class/ITI, Preferably",12
Basic literacy and numeracy,12
"5th Class,Preferably",12
Minimum Age - 14 Years ; Preferable Qualification shall be 10thpass,12
12th Class/ITI,11
"10th Class pass, preferably",10
"12th standard pass,  preferably ",9
"""Age: 21 years Qualification: Bachelor’s Degree in Engineering / Technology / Statistics / Mathematics / Computer Science""",9
10th Class/ITI/Diploma,9
I.T.I in Mechanical trade,9
"12th Class ,Preferably ",9
Preferably class 8th,9
"12th standard passed,  preferably ",9
Graduate degree/ diploma in any discipline,9
"8th Standard pass, preferably",8
"5th Class, Pass (Primary Education)",8
"12th Class,Preferably ",8
ITI – Mechanical,8
8th Standard,8
12th Standard,8
10th Standard,8
"5th standard, preferably",7
8th Standard passed,7
Preferable primary education,7
"Class XII ( with Physics, Chemistry & Maths) or its equivalent",7
"10th Class/ITI, Preferably-18 years",6
Class 8th,6
Graduate (Preferable),6
8th pass,6
10th/12th Class,6
0,6
Basic literacy(reading & writing skills),6
Class VIIIth Pass  ,6
Class XII pass,6
Diploma/BTech,5
Ability to read and write,5
10th Class /ITI,5
10th/12th Class/ITI,5
12th pass,5
Preferable Diploma,5
12th Pass,5
Diploma/BE,5
B. Tech/ BE in Industrial / Production / Mechanical Engineer,5
Diploma - Preferred  ,5
"Basic literacy, preferably 5th Class pass",5
No formal education,5
Middle School (Class VIII),5
10th pass,5
"10th Class ,Preferably-18 years",5
"Class X, Preferably",5
"10th Class ,Preferably-18 Years",5
10th,5
Graduate in any discipline,5
Class 12th pass preferably,5
Bachelor’s Degree in Engineering / Technology / Statistics / Mathematics / Computer Science/ Physical Sciences,5
"5th Class (To be revised to 10th post 31st December, 2017)",5
"Graduate, preferably",5
Diploma - Mechanical Engineering,4
"10th Class + ITI / Diploma (Electrical, Electronics)",4
Secondary School Grade X Passed,4
Graduate/BE/Post Graduate,4
12th Class in Science,4
Preferably primary education,4
Preferably after Class 10,4
"5th Standard, preferably",4
High school,4
Preferably Class 10th,4
Preferably Class 8,4
12th Standard Pass,4
B.E/ B.Tech in any discipline ,4
ITI / Diploma,4
Graduation in commerce or allied subjects/Diploma in commercial Practice,4
10+2,4
Under Graduate,4
12th standard passed or equivalent,4
VIII,4
Diploma in Mechanical Engineering,4
Minimum Age - 14 Years ; Preferable Qualification shall be 10th pass,4
ITI (Electrical/Mechanical),4
"8th Class ,Preferably ",4
Class V,4
"10th Class + ITI / Diploma (Electrical, Electronics, Civil, Mechanical, Fitter, Instrumentation, Welder, Mason)",4
"Graduate,  preferably ",4
"Basic literacy, 5th class pass",4
8th Standard pass,3
Vth Pass ,3
"12th standard pass, preferably",3
"12th Class, Basic Computer Literacy",3
Graduate or equivalent,3
Diploma in Mechanical/Automobile Engineering,3
"Graduate in Science/ Computer Science/Electronics and
Engineering /Information Technology",3
12th Class or equivalent,3
"12th standard, Preferably ,",3
"Graduate (Engineering, Arts, Commerce, Science)",3
"10th Class ,Preferably ",3
10th Standard Pass,3
"Diploma/BTech, BE",3
B.E/ B.Tech in any discipline or Graduate degree in Advertising/Marketing or graduate degree in any discipline,3
10th Class/ITI,3
Preferable Primary Education,3
10th – 12th Class,3
"10th Class /ITI, Preferably-18 years",3
"8th pass,  preferably ",3
"Diploma/Graduate (Engineering, Arts, Commerce, Science)",3
8th Class Preferable,3
ITI/ Higher Secondary,3
B.Tech,3
Bachelors Degree in /Engineering/Technology/ Science/Computer Science or any graduate course,3
"5th Class (To be revised to 9th post 31st December, 2017)",3
12th Class Pass preferable,3
"8th standard passed, preferably",3
Graduate or Diploma/ Class XII with relevant experience or Class X with relevant experience ,3
Graduate degree or diploma in any discipline,3
"Preferably, 8th Standard",3
"5th, preferably",3
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with 1  2 years experience in a Textile Mill.,3
ITI ,3
5th standard,3
Bachelor's Degree in Mechanical Engg./Electrical & Electronics Engg,3
12th Class in Science Or Level 3 Phlebotomy with experience of minimum three years in the laboratory setup,3
Preferable Qualification shall be 5th Pass with 1  2 years experience in a Textile Mill.,3
ITI – Mechanical/ Welding Technology,3
B.E/ B.Tech in any discipline,3
"10th Standard pass,preferably",3
8th Class+ 2 yrs/10th,3
XII / ITI,3
6th Class,3
"10th Class ,Preferably- 18 Years",3
Diploma - Preferred,3
10th Class  Valid Driving License ,3
"10th Standard pass, preferably",3
ITI Pass Diploma Pass and 18 years of age,2
ITI/Diploma - Desirable ,2
"Primary Education, preferably ",2
Preferable 12th standard passed,2
5th Standard pass (Primary Education),2
" For  Digital Data and Mock Up    
DET/ B.E/ B.Tech. in Automobile/ Mechanical/ Mechatronics 
 Bachelor degree in fine arts and sculpturing
",2
"12th Class, Prefreably",2
"10th pass, preferably",2
BE / B. Tech,2
B.E/ B. Tech (Preferably automobile/ mechanical engineering),2
5th standard,2
8th Class/ITI/Diploma,2
ITI/ Diploma,2
B. Pharma / B.Tech Chemical / B. Sc with Chemistry major subject (Preferable),2
Graduate in Marketing/ Advertising or B.B.A in Marketing/ Advertising or related field ,2
B.Sc. (Chemistry),2
"12th Standard pass, preferably",2
Diploma/D.Pharma/ Graduation in any field/ Diploma in Packaging,2
BE/Btech,2
Class XII ,2
"12th Standard Passed, preferably",2
Minimum Age - 14 Years ; Preferable Qualification shall be 10th Pass.,2
Diploma/Class 12th pass with relevant experience,2
I.T.I in Electrical trade,2
"Diploma/XII/Diploma/ITI, desirable",2
Bachelor’s Degree in Engineering / Technology,2
Minimum Age - 14 Years ; Preferable Qualification shall be Minimum: Graduate ,2
B. Tech/Diploma in Mechanical/Electrical/Electronics,2
Minimum Age - 14 Years ;  Preferable Qualification shall be 10th Pass with training in weaving department.,2
5th pass,2
"BE, Btech/Mtech",2
Undergraduate degree or diploma in business administration or  ASDC Automotive Sales Lead (Retail) Level 7 certificate,2
8th,2
CAD/ CAM Certification,2
"5th Class, Preferably Primary Education",2
"12th Class/ITI Diploma, Preferably",2
B.Tech/ Graduate in any field/ B. Sc/ B.Com/ B. Pharma (Preferable),2
Graduate ,2
Basic Literacy & Numeracy,2
Graduate in any stream,2
"10th Class + ITI / Diploma (Electrical, Electronics, Civil, Mechanical, Fitter, Instrumentation, Welder)",2
12th Class preferable,2
"primary education,  preferably ",2
Diploma/ D.Pharma/ ITI/ B.Sc,2
"Master’s degree in pharmaceutical, biotechnology, nursing or life sciences",2
Minimum Age - 14 Years ; Preferable Qualification shall be 10th Pass with training in weaving department.,2
High School Education,2
"Graduate in Security/ Computer Science/Electronics and Engineering
/Information Technology",2
Graduation,2
Minimum Age - 14 Years ; Preferably 12th Class Pass ,2
B. Tech/ BE in Industrial / Production / Mechanical Engg,2
B.E/ B. Tech (Preferably automobile/ mechanical/ electronics/ electrical engineering),2
Diploma in Engineering or Graduate in any discipline,2
10th Class or the ability to read/write and communicate effectively on the job role,2
I.T.I in Fitter trade,2
Basic literacy (reading & writing skills),2
Bachelor's Degree in Electrical & Electronics Engg. / Computer Science Engg.,2
5th Pass,2
Class X pass,2
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with training in weaving department.,2
"Class 10, preferably. No separate entry requirement for veterans from Armed Forces who have exposure of working in similar trade or job roles",2
Diploma/D.Pharma/ITI/B.Sc,2
Graduate Preferably,2
Graduate degree/ diploma in web design/ media design or any other related field,2
Class 10th Pass ITI Pass and 18 years of age,2
"10th Class ,Preferably / Low Voltage license from any Govt. recognized licensing authority",2
"8th standard pass,  preferably ",2
"10th Class, Preferably ",2
Class XII preferably with Biology,2
Btech/Mtech,2
"12th standard passed or equivalent
",2
10th Class and ability to read/ write and communicate effectively on the job role,2
 5th Class,2
Class 8th Pass and 18 years of age,2
"Graduate / Diploma Electrical Engineering,  preferably ",2
"12th Class/Diploma/ITI/Graduate, Desirable ",2
"5th Class, preferably",2
Class XII or Class X+2 year of ITI course,2
"Diploma (Any, Engineering, Arts, Commerce)",2
Graduate / Post Graduate,2
"B. Tech/Diploma in Mechanical/Electrical/Electronics
Engineering
",2
I.T.I in Foundryman trade,2
"10th Class ,Preferably but Class VIII is also considered in certain situations",2
5th Pass Preferably,2
Graduate in any discipline preferably Science/Computer,2
Diploma in Computers/ Electronics / Electrical Engg/ Bachelor's Degree in Science/Technology/Computers ,2
"Diploma(10+) – Mechanical, Electrical, Electronic / Mechatronics",2
Bachelor's Degree in Law or any graduate course,2
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with 2  3 years experience in a textile processing.,2
"12th Class,  preferably",2
"10+2 / ITI / Diploma / Certification in repairing services Bachelor in Technology (Electronics, Computer Science, IT and related field)",2
Graduation in any discipline (preferably social science),2
Preferably 5th Pass,2
Engineering Graduate in marine engineering/industrial design,2
B.E/ B. Tech.( Mechanical /Automobile/ Electrical & Electronics/ Instrumentation),2
CAD/CAM Certification,2
Bachelor's Degree in Science/Technology/Computers or any graduate course,2
10th standard pass,2
"10th, preferably",2
ITI – Mechanical/ Painting Technology,2
"Min: Class 10, preferably",2
Diploma in Metallurgy/ Graduate in chemistry,2
Able to Read & Write,2
"Diploma/ Bachelor in Technology (Electronics, Computer Science, IT and related field)",2
 Graduate ,2
Diploma in Engineering or any graduate course,2
"12th Class pass, preferably",2
ITI in Electrician trade,2
9th Class,2
B.Tech/ Graduate in any field/ B. Pharma (Preferable),2
"ITI/Diploma/BE, Btech,",2
"Graduate in Hotel management / Graduate,  preferably ",2
"10th Class ,Preferably with a background in physical sciences",2
Graduation - Preferred  ,2
ITI (Preferable),2
12th Standard pass (Science),2
