S.No,Type,Sector,QP Name,QP ID,NSQF Level,Contains Electives/Options,Number of Electives/ Options,Elective/Option Name,Compulsary NOS Count,Elective/Optional NOS count,Total No. of NOS,Version No.,Educational Qualification,Theory for Compulsory NOSs (hours),Practical for Compulsory NOSs (hours),Total Hours for Compulsory NOSs,Elective/Option Theory (hours),Elective/Option Practical (hours),Minimum hours duration for QP (hours),Mandatory OJT ,Recommended OJT ,Curriculum Available ,PH Available,FG Available,Job Roles in PMKVY 2.0,Job Roles in PMKVY 2.0 (9th SC Remarks),Job Roles in PMKVY 2.0 (2018-20),Job Roles Readiness for CSSM
1,QP-NOS,Aerospace & Aviation,Airline High Lift Truck Operator,AAS/Q0102,3,0,0,0,6,0,6,1,10th Class,126.0,162.0,288.0,0.0,0.0,0.0,0.0,0,Yes,Yes,0,0, ,0,0
2,QP-NOS,Aerospace & Aviation,Airline Cargo Assistant,AAS/Q0103,3,Option,1,"O1:Airside 
Vehicle Operator",4,1,5,1,10th Class,87.0,105.0,192.0,19.0,29.0,192.0,0.0,0,Yes,Yes,Yes,0,*May be added from 1-Apr-2018; 9th SC,Yes,Cat 1 (Phase 1)
3,QP-NOS,Aerospace & Aviation,Airline Baggage Handler,AAS/Q0104,3,Option,1,"O1:Airside 
Vehicle Operator",4,1,5,1,10th Class,85.0,107.0,192.0,19.0,29.0,192.0,0.0,0,Yes,Yes,Yes,0,*May be added from 1-Apr-2018; 9th SC,Yes,0
4,QP-NOS,Aerospace & Aviation,Airline Customer Service Executive,AAS/Q0301,4,0,0,0,6,0,6,1,12th Class,106.0,134.0,240.0,0.0,0.0,0.0,0.0,0,Yes,Yes,0,0,*May be added from 1-Apr-2018; 9th SC,Yes,Cat 1 (Phase 1)
5,QP-NOS,Aerospace & Aviation,Airline Security Executive,AAS/Q0601,3,0,0,0,3,0,3,1,10th Class,130.0,110.0,240.0,0.0,0.0,0.0,0.0,0,Yes,Yes,0,0,*May be added from 1-Apr-2018; 9th SC,Yes,0
6,QP-NOS,Aerospace & Aviation,Flight Dispatcher,AAS/Q0603,4,0,0,0,2,0,2,1,12th Class,261.0,315.0,576.0,0.0,0.0,0.0,0.0,0,Yes,Yes,0,0,0,0,0
7,QP-NOS,Aerospace & Aviation,Airline Flight Load Controller,AAS/Q0604,5,0,0,0,4,0,4,1,12th Class,106.0,134.0,240.0,19.0,29.0,240.0,0.0,0,Yes,Yes,0,0,0,0,0
8,QP-NOS,Aerospace & Aviation,Aircraft Powerplant Technician,AAS/Q2001,4,Option,1,O1:Aerospace Welder,6,1,7,2,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",157.0,227.0,384.0,81.0,111.0,384.0,0.0,0,Yes,Yes,0,0,0,0,0
9,QP-NOS,Aerospace & Aviation,Aircraft Instrument Technician,AAS/Q2002,4,0,0,0,3,0,3,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",156.0,228.0,384.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
10,QP-NOS,Aerospace & Aviation,Composite Repair Technician,AAS/Q2003,4,0,0,0,5,0,5,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",153.0,231.0,384.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
11,QP-NOS,Aerospace & Aviation,Helicopter Transmission Technician,AAS/Q2004,4,0,0,0,3,0,3,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",180.0,204.0,384.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
12,QP-NOS,Aerospace & Aviation,Propeller Technician,AAS/Q2006,4,0,0,0,6,0,6,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",194.0,190.0,384.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
13,QP-NOS,Aerospace & Aviation,FOL Storage and Control Technician,AAS/Q2007,4,0,0,0,3,0,3,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",134.0,154.0,288.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
14,QP-NOS,Aerospace & Aviation,Seat and Safety Equipment Technician,AAS/Q2008,4,0,0,0,2,0,2,1,"Class XII ( with Physics, Chemistry & Maths) or its equivalent",126.0,162.0,288.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
15,QP-NOS,Aerospace & Aviation,Technical Services Engineer,AAS/Q2101,5,0,0,0,2,0,2,1,Graduate (B.E/B.Tech) or its equivalent,180.0,204.0,384.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
16,QP-NOS,Aerospace & Aviation,Airline Reservation Agent,AAS/Q0302,4,0,0,0,3,0,3,1,12th Class,108.0,132.0,240.0,0.0,0.0,0.0,0.0,0,Yes,Yes,Yes,0,0,0,0
17,QP-NOS,Aerospace & Aviation,Airline Ramp Executive,AAS/Q0602,4,0,0,0,6,0,6,1,Graduate,106.0,134.0,240.0,0.0,0.0,0.0,0.0,0,Yes,Yes,0,0,0,0,0
18,QP-NOS,Aerospace & Aviation,Airline Cabin Crew,AAS/Q0605,4,0,0,0,5,0,5,1,12th Class,224.0,256.0,480.0,0.0,0.0,0.0,0.0,0,Yes,Yes,0,0,0,0,0
19,QP-NOS,Aerospace & Aviation,Airline First Officer,AAS/Q0606,6,0,0,0,4,0,4,1,12th Class,1151.0,1153.0,2304.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
20,QP-NOS,Aerospace & Aviation,Airline Revenue Management Analyst,AAS/Q0608,4,0,0,0,2,0,2,1,Graduate,96.0,144.0,240.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
21,QP-NOS,Aerospace & Aviation,Airline Network Planning Analyst,AAS/Q0609,4,0,0,0,2,0,2,1,Graduate,113.0,127.0,240.0,0.0,0.0,0.0,0.0,0,Yes,0,0,0,0,0,0
